Lucid Dreams,Lucid Dreams,Can't Hold Us feat. Ray Dalton,INDUSTRY BABY feat. Jack Harlow,Havana feat. Young Thug,Die For You,goosebumps,All of Me,Choke,Unforgettable,New Rules,bzip2,whitenoise,10
Watermelon Sugar,Watermelon Sugar,New Rules,Too Good At Goodbyes,Flowers,Do I Wanna Know?,Stressed Out,When I Was Your Man,Can't Hold Us feat. Ray Dalton,bad guy,Señorita,bzip2,whitenoise,10
Believer,Believer,That's What I Like,Choke,Can't Hold Us feat. Ray Dalton,Die For You,Sweater Weather,Bohemian Rhapsody - Remastered 2011,New Rules,INDUSTRY BABY feat. Jack Harlow,Happier,bzip2,whitenoise,10
Viva La Vida,Viva La Vida,Closer,Bohemian Rhapsody - Remastered 2011,INDUSTRY BABY feat. Jack Harlow,All of Me,Demons,In the End,Mr. Brightside,Havana feat. Young Thug,Treat You Better,bzip2,whitenoise,10
Circles,Circles,Señorita,Bohemian Rhapsody - Remastered 2011,Can't Hold Us feat. Ray Dalton,Flowers,Happier,Stressed Out,Watermelon Sugar,New Rules,Thunder,bzip2,whitenoise,10
Señorita,Señorita,New Rules,Flowers,Watermelon Sugar,Circles,Stressed Out,Too Good At Goodbyes,Don't Start Now,Thinking out Loud,Thunder,bzip2,whitenoise,10
XO Tour Llif3,XO Tour Llif3,Don't Start Now,New Rules,Can't Hold Us feat. Ray Dalton,INDUSTRY BABY feat. Jack Harlow,Thinking out Loud,God's Plan,Die For You,One Kiss with Dua Lipa,Something Just Like This,bzip2,whitenoise,10
Choke,Choke,That's What I Like,Closer,STAY with Justin Bieber,INDUSTRY BABY feat. Jack Harlow,My Goodbye,Believer,Unforgettable,Without Me with Juice WRLD,Cuidado,bzip2,whitenoise,10
God's Plan,God's Plan,bad guy,Lose Yourself,Bohemian Rhapsody - Remastered 2011,Shine On,HUMBLE.,Counting Stars,INDUSTRY BABY feat. Jack Harlow,Can't Hold Us feat. Ray Dalton,XO Tour Llif3,bzip2,whitenoise,10
Sorry,Sorry,Choke,Havana feat. Young Thug,Closer,Bohemian Rhapsody - Remastered 2011,Say You Won't Let Go,Cuidado,Believer,Can't Hold Us feat. Ray Dalton,Viva La Vida,bzip2,whitenoise,10
