All of Me,All of Me,HUMBLE.,Closer,No Role Modelz,STAY with Justin Bieber,Viva La Vida,That's What I Like,INDUSTRY BABY feat. Jack Harlow,Someone You Loved,Bohemian Rhapsody - Remastered 2011,bzip2,reverb,40
Walk On Water,Walk On Water,Watermelon Sugar,Stressed Out,New Rules,Another Love,Just the Way You Are,Flowers,God's Plan,Thunder,Too Good At Goodbyes,bzip2,reverb,40
rockstar,rockstar,Shine On,INDUSTRY BABY feat. Jack Harlow,SICKO MODE,Can't Hold Us feat. Ray Dalton,XO Tour Llif3,God's Plan,One Kiss with Dua Lipa,Do I Wanna Know?,Unforgettable,bzip2,reverb,40
Jocelyn Flores,Jocelyn Flores,INDUSTRY BABY feat. Jack Harlow,Havana feat. Young Thug,SICKO MODE,God's Plan,Stressed Out,No Role Modelz,Shine On,Treat You Better,Bohemian Rhapsody - Remastered 2011,bzip2,reverb,40
Thunder,Thunder,New Rules,Can't Hold Us feat. Ray Dalton,Bohemian Rhapsody - Remastered 2011,Stay With Me,Too Good At Goodbyes,Havana feat. Young Thug,Happier,One Kiss with Dua Lipa,Another Love,bzip2,reverb,40
Someone You Loved,Someone You Loved,Treat You Better,That's What I Like,Mr. Brightside,Bohemian Rhapsody - Remastered 2011,All of Me,Viva La Vida,Unforgettable,Without Me with Juice WRLD,My Goodbye,bzip2,reverb,40
LOOP feat,LOOP feat. Lil Cherry,All of Me,Havana feat. Young Thug,Do I Wanna Know?,Can't Hold Us feat. Ray Dalton,HUMBLE.,Bohemian Rhapsody - Remastered 2011,God's Plan,Love Yourself,SICKO MODE,bzip2,reverb,40
bad guy,bad guy,Believer,Bohemian Rhapsody - Remastered 2011,Sweater Weather,All of Me,Closer,Havana feat. Young Thug,When I Was Your Man,New Rules,Can't Hold Us feat. Ray Dalton,bzip2,reverb,40
One Dance,One Dance,All of Me,Choke,Bohemian Rhapsody - Remastered 2011,Havana feat. Young Thug,That's What I Like,God's Plan,INDUSTRY BABY feat. Jack Harlow,STAY with Justin Bieber,Closer,bzip2,reverb,40
Something Just Like This,Something Just Like This,Can't Hold Us feat. Ray Dalton,One Kiss with Dua Lipa,New Rules,Don't Start Now,Do I Wanna Know?,No Role Modelz,Coconut Water,Lose Yourself,Die For You,bzip2,reverb,40
One Kiss with Dua Lipa,One Kiss with Dua Lipa,New Rules,Happier,Stressed Out,Can't Hold Us feat. Ray Dalton,Do I Wanna Know?,Thunder,No Role Modelz,Havana feat. Young Thug,Coconut Water,bzip2,reverb,40
Man On the Moon,Man On the Moon,Sweater Weather,Bohemian Rhapsody - Remastered 2011,Do I Wanna Know?,Too Good At Goodbyes,I Wanna Be Yours,Just the Way You Are,Closer,Treat You Better,Can't Hold Us feat. Ray Dalton,bzip2,reverb,40
Cuidado,Cuidado,STAY with Justin Bieber,Choke,Closer,Do I Wanna Know?,New Rules,Bohemian Rhapsody - Remastered 2011,Havana feat. Young Thug,Say You Won't Let Go,Sweater Weather,bzip2,reverb,40
Too Good At Goodbyes,Too Good At Goodbyes,When I Was Your Man,Watermelon Sugar,Say You Won't Let Go,Just the Way You Are,Havana feat. Young Thug,Do I Wanna Know?,Thinking out Loud,Happier,New Rules,bzip2,reverb,40
Counting Stars,Counting Stars,My Goodbye,Photograph,Die For You,Choke,Can't Hold Us feat. Ray Dalton,Shape of You,Bohemian Rhapsody - Remastered 2011,Unforgettable,Treat You Better,bzip2,reverb,40
Don't Start Now,Don't Start Now,Thinking out Loud,Can't Hold Us feat. Ray Dalton,Flowers,There's Nothing Holdin' Me Back,Watermelon Sugar,New Rules,Bohemian Rhapsody - Remastered 2011,When I Was Your Man,Señorita,bzip2,reverb,40
SAD!,SAD!,Sweater Weather,All of Me,Havana feat. Young Thug,Can't Hold Us feat. Ray Dalton,Bohemian Rhapsody - Remastered 2011,Treat You Better,When I Was Your Man,Love Yourself,Too Good At Goodbyes,bzip2,reverb,40
Flowers,Flowers,Señorita,Thunder,Don't Start Now,Can't Hold Us feat. Ray Dalton,Let Her Go,Another Love,Bohemian Rhapsody - Remastered 2011,Do I Wanna Know?,Havana feat. Young Thug,bzip2,reverb,40
