Ether,Can't Hold Us feat. Ray Dalton,Ether,Die For You,Counting Stars,Photograph,Choke,Unforgettable,goosebumps,Starboy,Stressed Out,gzip,raw,30,5
Starboy,Starboy,Can't Hold Us feat. Ray Dalton,One Kiss with Dua Lipa,New Rules,Thunder,Stressed Out,Circles,Señorita,Coconut Water,Stay With Me,gzip,raw,30,5
When I Was Your Man,When I Was Your Man,Can't Hold Us feat. Ray Dalton,Havana feat. Young Thug,Happier,God's Plan,Bohemian Rhapsody - Remastered 2011,Demons,Watermelon Sugar,Do I Wanna Know?,Take Me To Church,gzip,raw,30,5
Cuidado,Cuidado,Can't Hold Us feat. Ray Dalton,Choke,Do I Wanna Know?,Havana feat. Young Thug,STAY with Justin Bieber,Closer,Man On the Moon,Too Good At Goodbyes,Say You Won't Let Go,gzip,raw,30,5
goosebumps,goosebumps,Havana feat. Young Thug,Can't Hold Us feat. Ray Dalton,Believer,God's Plan,Choke,SICKO MODE,Counting Stars,Do I Wanna Know?,No Role Modelz,gzip,raw,30,5
