One Dance,One Dance,INDUSTRY BABY feat. Jack Harlow,All of Me,Choke,Havana feat. Young Thug,Unforgettable,Can't Hold Us feat. Ray Dalton,Bohemian Rhapsody - Remastered 2011,God's Plan,SICKO MODE,bzip2,reverb,50
No Role Modelz,No Role Modelz,New Rules,Choke,Closer,Can't Hold Us feat. Ray Dalton,Happier,Just the Way You Are,Sweater Weather,Treat You Better,STAY with Justin Bieber,bzip2,reverb,50
Without Me,Without Me,Do I Wanna Know?,Bohemian Rhapsody - Remastered 2011,Can't Hold Us feat. Ray Dalton,Havana feat. Young Thug,Sweater Weather,Too Good At Goodbyes,Stressed Out,Thinking out Loud,Watermelon Sugar,bzip2,reverb,50
Lean On feat,Lean On feat. MØ & DJ Snake,New Rules,God's Plan,INDUSTRY BABY feat. Jack Harlow,Do I Wanna Know?,All of Me,Happier,Havana feat. Young Thug,Cuidado,Bohemian Rhapsody - Remastered 2011,bzip2,reverb,50
God's Plan,God's Plan,Havana feat. Young Thug,SICKO MODE,Shine On,Can't Hold Us feat. Ray Dalton,Bohemian Rhapsody - Remastered 2011,bad guy,goosebumps,Die For You,No Role Modelz,bzip2,reverb,50
Without Me with Juice WRLD,Without Me with Juice WRLD,Choke,Die For You,Unforgettable,That's What I Like,INDUSTRY BABY feat. Jack Harlow,SICKO MODE,STAY with Justin Bieber,Can't Hold Us feat. Ray Dalton,Believer,bzip2,reverb,50
New Rules,New Rules,One Kiss with Dua Lipa,Señorita,Stressed Out,Can't Hold Us feat. Ray Dalton,Coconut Water,Circles,Something Just Like This,Happier,Watermelon Sugar,bzip2,reverb,50
Die For You,Die For You,Shape of You,That's What I Like,7 rings,Without Me with Juice WRLD,My Goodbye,Can't Hold Us feat. Ray Dalton,Choke,Counting Stars,Photograph,bzip2,reverb,50
That's What I Like,That's What I Like,Choke,STAY with Justin Bieber,INDUSTRY BABY feat. Jack Harlow,Can't Hold Us feat. Ray Dalton,Without Me with Juice WRLD,Treat You Better,Believer,SICKO MODE,Die For You,bzip2,reverb,50
My Goodbye,My Goodbye,Choke,Die For You,Counting Stars,Heat Waves,Unforgettable,Shape of You,Can't Hold Us feat. Ray Dalton,Bohemian Rhapsody - Remastered 2011,Without Me with Juice WRLD,bzip2,reverb,50
Watermelon Sugar,Watermelon Sugar,New Rules,Say You Won't Let Go,Too Good At Goodbyes,Stressed Out,Do I Wanna Know?,Can't Hold Us feat. Ray Dalton,One Kiss with Dua Lipa,Flowers,Circles,bzip2,reverb,50
XO Tour Llif3,XO Tour Llif3,Can't Hold Us feat. Ray Dalton,Don't Start Now,New Rules,Choke,INDUSTRY BABY feat. Jack Harlow,SICKO MODE,Die For You,One Kiss with Dua Lipa,God's Plan,bzip2,reverb,50
Believer,Believer,That's What I Like,New Rules,Can't Hold Us feat. Ray Dalton,Sweater Weather,Choke,Bohemian Rhapsody - Remastered 2011,Die For You,No Role Modelz,Treat You Better,bzip2,reverb,50
Shape of You,Shape of You,Die For You,My Goodbye,Counting Stars,There's Nothing Holdin' Me Back,Photograph,Can't Hold Us feat. Ray Dalton,God's Plan,7 rings,Unforgettable,bzip2,reverb,50
