SAD!,SAD!,Man On the Moon,Bohemian Rhapsody - Remastered 2011,Sweater Weather,Havana feat. Young Thug,Do I Wanna Know?,bad guy,Counting Stars,Can't Hold Us feat. Ray Dalton,Too Good At Goodbyes,zstd,reverb,20
Cruel Summer,Cruel Summer,Can't Hold Us feat. Ray Dalton,Counting Stars,Thinking out Loud,Walk On Water,Wake Me Up - Radio Edit,Something Just Like This,Don't Start Now,New Rules,Stressed Out,zstd,reverb,20
There's Nothing Holdin' Me Back,There's Nothing Holdin' Me Back,Havana feat. Young Thug,Thinking out Loud,Can't Hold Us feat. Ray Dalton,Bohemian Rhapsody - Remastered 2011,Shape of You,Counting Stars,Take Me To Church,Don't Start Now,God's Plan,zstd,reverb,20
Let Me Love You,Let Me Love You,Bohemian Rhapsody - Remastered 2011,Havana feat. Young Thug,Smells Like Teen Spirit,Man On the Moon,Do I Wanna Know?,Thunder,Can't Hold Us feat. Ray Dalton,Sweater Weather,Viva La Vida,zstd,reverb,20
Take Me To Church,Take Me To Church,Can't Hold Us feat. Ray Dalton,Thinking out Loud,Havana feat. Young Thug,Señorita,Flowers,Shallow,Bohemian Rhapsody - Remastered 2011,Walk On Water,goosebumps,zstd,reverb,20
XO Tour Llif3,XO Tour Llif3,Can't Hold Us feat. Ray Dalton,Havana feat. Young Thug,Die For You,God's Plan,Choke,Don't Start Now,SICKO MODE,Something Just Like This,Counting Stars,zstd,reverb,20
Flowers,Flowers,Señorita,Thunder,Circles,Don't Start Now,Havana feat. Young Thug,Bohemian Rhapsody - Remastered 2011,Counting Stars,Without Me,Stressed Out,zstd,reverb,20
Lean On feat,Lean On feat. MØ & DJ Snake,Can't Hold Us feat. Ray Dalton,Havana feat. Young Thug,Bohemian Rhapsody - Remastered 2011,Choke,Without Me,SICKO MODE,Sweater Weather,Lose Yourself,goosebumps,zstd,reverb,20
Counting Stars,Counting Stars,Die For You,Photograph,Can't Hold Us feat. Ray Dalton,My Goodbye,Ether,Choke,Something Just Like This,Don't Start Now,goosebumps,zstd,reverb,20
Lucid Dreams,Lucid Dreams,XO Tour Llif3,Can't Hold Us feat. Ray Dalton,Don't Start Now,Counting Stars,Havana feat. Young Thug,Lose Yourself,New Rules,Something Just Like This,Unforgettable,zstd,reverb,20
Don't Start Now,Don't Start Now,Flowers,Can't Hold Us feat. Ray Dalton,Thinking out Loud,goosebumps,Señorita,Counting Stars,New Rules,Havana feat. Young Thug,Something Just Like This,zstd,reverb,20
goosebumps,goosebumps,New Rules,Can't Hold Us feat. Ray Dalton,Coconut Water,Havana feat. Young Thug,Don't Start Now,Circles,Thinking out Loud,Bohemian Rhapsody - Remastered 2011,There's Nothing Holdin' Me Back,zstd,reverb,20
bad guy,bad guy,Treat You Better,Counting Stars,Without Me,Havana feat. Young Thug,Thunder,Stay With Me,Bohemian Rhapsody - Remastered 2011,Walk On Water,Thinking out Loud,zstd,reverb,20
Wake Me Up - Radio Edit,Wake Me Up - Radio Edit,Thinking out Loud,Can't Hold Us feat. Ray Dalton,Havana feat. Young Thug,Bohemian Rhapsody - Remastered 2011,Don't Start Now,SICKO MODE,Shallow,XO Tour Llif3,Flowers,zstd,reverb,20
Thinking out Loud,Thinking out Loud,Don't Start Now,Havana feat. Young Thug,Can't Hold Us feat. Ray Dalton,Something Just Like This,There's Nothing Holdin' Me Back,Wake Me Up - Radio Edit,Watermelon Sugar,Bohemian Rhapsody - Remastered 2011,Counting Stars,zstd,reverb,20
Havana feat,Havana feat. Young Thug,Bohemian Rhapsody - Remastered 2011,Say You Won't Let Go,Do I Wanna Know?,Demons,Can't Hold Us feat. Ray Dalton,Sweater Weather,Happier,When I Was Your Man,SICKO MODE,zstd,reverb,20
lovely with Khalid,lovely with Khalid,Can't Hold Us feat. Ray Dalton,Havana feat. Young Thug,Thinking out Loud,Shape of You,Another Love,Bohemian Rhapsody - Remastered 2011,Die For You,God's Plan,Counting Stars,zstd,reverb,20
Choke,Choke,That's What I Like,Unforgettable,Can't Hold Us feat. Ray Dalton,Counting Stars,Without Me with Juice WRLD,Die For You,In the End,Believer,Bohemian Rhapsody - Remastered 2011,zstd,reverb,20
No Signal,No Signal,Man On the Moon,Do I Wanna Know?,Bohemian Rhapsody - Remastered 2011,Too Good At Goodbyes,I Wanna Be Yours,Havana feat. Young Thug,Cuidado,SAD!,Sweater Weather,zstd,reverb,20
Lele,Lele,Unforgettable,Bohemian Rhapsody - Remastered 2011,Havana feat. Young Thug,SICKO MODE,Without Me with Juice WRLD,Choke,Closer,INDUSTRY BABY feat. Jack Harlow,Shape of You,zstd,reverb,20
Do I Wanna Know,Do I Wanna Know?,Havana feat. Young Thug,Bohemian Rhapsody - Remastered 2011,Say You Won't Let Go,Too Good At Goodbyes,Can't Hold Us feat. Ray Dalton,Man On the Moon,Sweater Weather,Cuidado,Demons,zstd,reverb,20
One Kiss with Dua Lipa,One Kiss with Dua Lipa,Havana feat. Young Thug,Can't Hold Us feat. Ray Dalton,Do I Wanna Know?,New Rules,Bohemian Rhapsody - Remastered 2011,Starboy,Too Good At Goodbyes,Happier,Watermelon Sugar,zstd,reverb,20
Just the Way You Are,Just the Way You Are,Havana feat. Young Thug,Too Good At Goodbyes,Can't Hold Us feat. Ray Dalton,Bohemian Rhapsody - Remastered 2011,New Rules,Happier,God's Plan,Watermelon Sugar,Stressed Out,zstd,reverb,20
Man On the Moon,Man On the Moon,Havana feat. Young Thug,Do I Wanna Know?,Bohemian Rhapsody - Remastered 2011,I Wanna Be Yours,Too Good At Goodbyes,Sweater Weather,Treat You Better,bad guy,Demons,zstd,reverb,20
Unforgettable,Unforgettable,Counting Stars,Heat Waves,Believer,Havana feat. Young Thug,Die For You,Choke,My Goodbye,Without Me with Juice WRLD,Bohemian Rhapsody - Remastered 2011,zstd,reverb,20
I Wanna Be Yours,I Wanna Be Yours,Bohemian Rhapsody - Remastered 2011,Do I Wanna Know?,Man On the Moon,Havana feat. Young Thug,Too Good At Goodbyes,The Hills,Can't Hold Us feat. Ray Dalton,Sweater Weather,Demons,zstd,reverb,20
