Without Me,Without Me,Stressed Out,Sweater Weather,Bohemian Rhapsody - Remastered 2011,Too Good At Goodbyes,Can't Hold Us feat. Ray Dalton,New Rules,Don't Start Now,All of Me,Treat You Better,bzip2,reverb,90
No Role Modelz,No Role Modelz,Can't Hold Us feat. Ray Dalton,Sweater Weather,Stressed Out,Havana feat. Young Thug,Choke,God's Plan,All of Me,SICKO MODE,Treat You Better,bzip2,reverb,90
There's Nothing Holdin' Me Back,There's Nothing Holdin' Me Back,Don't Start Now,Thinking out Loud,My Goodbye,Shape of You,When I Was Your Man,Die For You,Bohemian Rhapsody - Remastered 2011,Photograph,New Rules,bzip2,reverb,90
Happier,Happier,Do I Wanna Know?,VICIOUS CYCLE,New Rules,Havana feat. Young Thug,Bohemian Rhapsody - Remastered 2011,Watermelon Sugar,Say You Won't Let Go,Can't Hold Us feat. Ray Dalton,One Kiss with Dua Lipa,bzip2,reverb,90
One Kiss with Dua Lipa,One Kiss with Dua Lipa,New Rules,Señorita,Can't Hold Us feat. Ray Dalton,Happier,Havana feat. Young Thug,Watermelon Sugar,Bohemian Rhapsody - Remastered 2011,Stressed Out,There's Nothing Holdin' Me Back,bzip2,reverb,90
Thunder,Thunder,Watermelon Sugar,Havana feat. Young Thug,Can't Hold Us feat. Ray Dalton,God's Plan,New Rules,Happier,Flowers,All of Me,Bohemian Rhapsody - Remastered 2011,bzip2,reverb,90
Lean On feat,Lean On feat. MØ & DJ Snake,Choke,Man On the Moon,Bohemian Rhapsody - Remastered 2011,Too Good At Goodbyes,God's Plan,Can't Hold Us feat. Ray Dalton,Say You Won't Let Go,New Rules,Just the Way You Are,bzip2,reverb,90
SAD!,SAD!,Bohemian Rhapsody - Remastered 2011,Can't Hold Us feat. Ray Dalton,Sweater Weather,Treat You Better,Closer,Say You Won't Let Go,All of Me,Smells Like Teen Spirit,God's Plan,bzip2,reverb,90
Smells Like Teen Spirit,Smells Like Teen Spirit,Mr. Brightside,Bohemian Rhapsody - Remastered 2011,Closer,Treat You Better,All of Me,Viva La Vida,God's Plan,Can't Hold Us feat. Ray Dalton,Thunder,bzip2,reverb,90
Choke,Choke,Die For You,INDUSTRY BABY feat. Jack Harlow,Can't Hold Us feat. Ray Dalton,My Goodbye,Bohemian Rhapsody - Remastered 2011,Unforgettable,Treat You Better,Closer,Believer,bzip2,reverb,90
Man On the Moon,Man On the Moon,Bohemian Rhapsody - Remastered 2011,Treat You Better,I Wanna Be Yours,Sweater Weather,Closer,Viva La Vida,Can't Hold Us feat. Ray Dalton,Do I Wanna Know?,God's Plan,bzip2,reverb,90
Wake Me Up - Radio Edit,Wake Me Up - Radio Edit,Can't Hold Us feat. Ray Dalton,Bohemian Rhapsody - Remastered 2011,There's Nothing Holdin' Me Back,God's Plan,Watermelon Sugar,Sunflower - Spider-Man: Into the Spider-Verse,Thinking out Loud,Flowers,Another Love,bzip2,reverb,90
Cruel Summer,Cruel Summer,My Goodbye,Can't Hold Us feat. Ray Dalton,God's Plan,Treat You Better,Thinking out Loud,New Rules,Walk On Water,Die For You,Bohemian Rhapsody - Remastered 2011,bzip2,reverb,90
Cuidado,Cuidado,Can't Hold Us feat. Ray Dalton,Bohemian Rhapsody - Remastered 2011,Man On the Moon,Sweater Weather,Say You Won't Let Go,Do I Wanna Know?,Watermelon Sugar,Too Good At Goodbyes,Choke,bzip2,reverb,90
Stressed Out,Stressed Out,Señorita,Another Love,Can't Hold Us feat. Ray Dalton,Walk On Water,New Rules,Coconut Water,Watermelon Sugar,Take Me To Church,Thunder,bzip2,reverb,90
Without Me with Juice WRLD,Without Me with Juice WRLD,Die For You,Choke,Counting Stars,Shape of You,Unforgettable,That's What I Like,Closer,My Goodbye,Treat You Better,bzip2,reverb,90
lovely with Khalid,lovely with Khalid,Another Love,Can't Hold Us feat. Ray Dalton,Thinking out Loud,Bohemian Rhapsody - Remastered 2011,God's Plan,Counting Stars,Walk On Water,Something Just Like This,There's Nothing Holdin' Me Back,bzip2,reverb,90
Riptide,Riptide,God's Plan,Bohemian Rhapsody - Remastered 2011,Can't Hold Us feat. Ray Dalton,Thinking out Loud,Die For You,Viva La Vida,No Role Modelz,Man On the Moon,All of Me,bzip2,reverb,90
HUMBLE,HUMBLE.,bad guy,God's Plan,Can't Hold Us feat. Ray Dalton,Jocelyn Flores,Shine On,SICKO MODE,All of Me,Lose Yourself,Do I Wanna Know?,bzip2,reverb,90
Flowers,Flowers,Bohemian Rhapsody - Remastered 2011,Can't Hold Us feat. Ray Dalton,Another Love,Don't Start Now,Thunder,Take Me To Church,Let Her Go,New Rules,Circles,bzip2,reverb,90
VICIOUS CYCLE,VICIOUS CYCLE,God's Plan,SICKO MODE,Havana feat. Young Thug,No Role Modelz,Can't Hold Us feat. Ray Dalton,Unforgettable,Lose Yourself,Sweater Weather,Happier,bzip2,reverb,90
Lucid Dreams,Lucid Dreams,Can't Hold Us feat. Ray Dalton,My Goodbye,Die For You,Unforgettable,Bohemian Rhapsody - Remastered 2011,Counting Stars,Shape of You,XO Tour Llif3,There's Nothing Holdin' Me Back,bzip2,reverb,90
Jocelyn Flores,Jocelyn Flores,Treat You Better,God's Plan,Bohemian Rhapsody - Remastered 2011,INDUSTRY BABY feat. Jack Harlow,Can't Hold Us feat. Ray Dalton,Stressed Out,All of Me,Closer,There's Nothing Holdin' Me Back,bzip2,reverb,90
XO Tour Llif3,XO Tour Llif3,Can't Hold Us feat. Ray Dalton,Don't Start Now,Die For You,New Rules,Choke,Counting Stars,All of Me,My Goodbye,Bohemian Rhapsody - Remastered 2011,bzip2,reverb,90
When I Was Your Man,When I Was Your Man,Can't Hold Us feat. Ray Dalton,God's Plan,Happier,Watermelon Sugar,New Rules,Flowers,Circles,One Kiss with Dua Lipa,Havana feat. Young Thug,bzip2,reverb,90
Viva La Vida,Viva La Vida,Treat You Better,Bohemian Rhapsody - Remastered 2011,God's Plan,Closer,Do I Wanna Know?,Mr. Brightside,Can't Hold Us feat. Ray Dalton,Every Breath You Take,No Role Modelz,bzip2,reverb,90
Sparkling Moments,Sparkling Moments,All of Me,When I Was Your Man,Señorita,Circles,Bohemian Rhapsody - Remastered 2011,Too Good At Goodbyes,Smells Like Teen Spirit,Stressed Out,Lose Yourself,bzip2,reverb,90
No Signal,No Signal,Closer,Bohemian Rhapsody - Remastered 2011,Man On the Moon,Can't Hold Us feat. Ray Dalton,Havana feat. Young Thug,Do I Wanna Know?,All of Me,Viva La Vida,INDUSTRY BABY feat. Jack Harlow,bzip2,reverb,90
Starboy,Starboy,All of Me,God's Plan,Bohemian Rhapsody - Remastered 2011,Can't Hold Us feat. Ray Dalton,There's Nothing Holdin' Me Back,Havana feat. Young Thug,Thinking out Loud,Sweater Weather,New Rules,bzip2,reverb,90
Watermelon Sugar,Watermelon Sugar,New Rules,Can't Hold Us feat. Ray Dalton,Flowers,Stressed Out,Say You Won't Let Go,Do I Wanna Know?,When I Was Your Man,Too Good At Goodbyes,Bohemian Rhapsody - Remastered 2011,bzip2,reverb,90
Just the Way You Are,Just the Way You Are,All of Me,Happier,Can't Hold Us feat. Ray Dalton,Bohemian Rhapsody - Remastered 2011,Havana feat. Young Thug,Do I Wanna Know?,Watermelon Sugar,New Rules,Love Yourself,bzip2,reverb,90
goosebumps,goosebumps,Can't Hold Us feat. Ray Dalton,Thinking out Loud,There's Nothing Holdin' Me Back,Don't Start Now,Señorita,God's Plan,Havana feat. Young Thug,Bohemian Rhapsody - Remastered 2011,New Rules,bzip2,reverb,90
STAY with Justin Bieber,STAY with Justin Bieber,Viva La Vida,Treat You Better,All of Me,Closer,Mr. Brightside,Bohemian Rhapsody - Remastered 2011,Smells Like Teen Spirit,Shape of You,Unforgettable,bzip2,reverb,90
Photograph,Photograph,Love Yourself,Counting Stars,Havana feat. Young Thug,Die For You,Can't Hold Us feat. Ray Dalton,No Role Modelz,SICKO MODE,God's Plan,INDUSTRY BABY feat. Jack Harlow,bzip2,reverb,90
Let Me Love You,Let Me Love You,All of Me,Smells Like Teen Spirit,Bohemian Rhapsody - Remastered 2011,Closer,Sweater Weather,Man On the Moon,Can't Hold Us feat. Ray Dalton,Mr. Brightside,Viva La Vida,bzip2,reverb,90
